candidate,scenario,preference,intro,min,p10,q25,median,q75,restrictedMax,censored600,p50,p100,p150,p200,p300,p500,rabbitExt50,rabbitExt100,rabbitExt200,rabbitExt300,rabbitExt600,wolfExt50,wolfExt100,wolfExt200,wolfExt300,wolfExt600,interaction50,interaction100,interaction200,foxPeakMax,capRuns,capSteps,capGuardCalls,vegMean,vegMedian,vegMin,vegCollapse200,rabbitPooledEnergyPercent
phase2-fallback-n4,full-web,fallback,4,110,126,140,149,165.25,600,2,1,1,0.49,0.12,0.07,0.02,0,0.24,0.66,0.68,0.75,0,0,0.79,0.8,0.93,1,1,1,37,0,0,0,69.2526178075397,98.95833333333334,0.03720238095238095,0.8,87.75717023131492
p0.67-n4,full-web,0.67,4,110,119.8,134,145.5,155,600,2,1,1,0.4,0.11,0.07,0.03,0,0.19,0.6,0.61,0.69,0,0,0.72,0.72,0.86,1,1,1,35,0,0,0,65.04918588789683,91.18303571428571,0.0744047619047619,0.91,87.440397188222
p0.67-n4,rabbit-fox,0.67,4,110,403.1,600,600,600,600,85,1,1,0.98,0.98,0.93,0.88,0,0,0.01,0.04,0.06,,,,,,1,1,1,44,0,0,0,19.893413938492074,9.077380952380953,0.03720238095238095,1,92.67549980648671
p0.67-n4,plant-only,0.67,4,13,15,16,17,17,17,0,0,0,0,0,0,0,,,,,,,,,,,1,1,1,4,0,0,0,99.83767919146825,100,92.26190476190477,0,0
p0.67-n4,plant-max-efficiency,0.67,4,69,80.9,90,93.5,98,102,0,1,0.18,0,0,0,0,,,,,,,,,,,1,1,1,4,0,0,0,99.60125062003972,100,92.26190476190477,0,0
p0.67-n6,full-web,0.67,6,110,128,140,150,161,600,2,1,1,0.51,0.12,0.05,0.03,0,0.2,0.62,0.64,0.68,0,0,0.69,0.76,0.87,1,1,1,38,0,0,0,65.35166108630953,92.11309523809523,0.0744047619047619,0.87,87.30592217869233
p0.67-n6,rabbit-fox,0.67,6,170,364.5,512,600,600,600,71,1,1,1,0.97,0.93,0.76,0,0,0,0.02,0.03,,,,,,1,1,1,49,0,0,0,20.65982204861112,10.193452380952381,0.03720238095238095,1,92.03217731389202
p0.67-n6,plant-only,0.67,6,13,15,16.75,17,17,17,0,0,0,0,0,0,0,,,,,,,,,,,1,1,1,6,0,0,0,99.81134052579363,100,92.15029761904762,0,0
p0.67-n8,full-web,0.67,8,110,129,138,153,171.25,600,2,1,1,0.52,0.2,0.12,0.04,0,0.08,0.41,0.48,0.59,0,0,0.62,0.66,0.88,1,1,1,41,0,0,0,55.86752914186509,68.34077380952381,0.0744047619047619,0.83,87.51904033816217
p0.67-n8,rabbit-fox,0.67,8,162,296,600,600,600,600,77,1,1,1,0.94,0.89,0.78,0,0,0.06,0.08,0.11,,,,,,1,1,1,50,0,0,0,24.973698536706348,12.574404761904761,0.0744047619047619,1,92.09172331714662
p0.67-n8,plant-only,0.67,8,13,16,17,17,17,17,0,0,0,0,0,0,0,,,,,,,,,,,1,1,1,8,0,0,0,99.78377046130954,100,92.03869047619048,0,0
p0.75-n4,full-web,0.75,4,110,122,134.75,149.5,170,600,2,1,1,0.5,0.15,0.1,0.02,0,0.17,0.57,0.58,0.71,0,0,0.68,0.7,0.89,1,1,1,37,0,0,0,64.5804693700397,89.88095238095238,0.0744047619047619,0.86,87.50243749774306
p0.75-n6,full-web,0.75,6,110,125.7,138,149,168,600,2,1,1,0.48,0.19,0.11,0.02,0,0.19,0.53,0.54,0.66,0,0,0.68,0.74,0.91,1,1,1,38,0,0,0,61.80902653769842,82.44047619047619,0.0744047619047619,0.75,87.18642486874029
p0.75-n8,full-web,0.75,8,100,127,140,150,166.25,600,5,1,1,0.5,0.17,0.12,0.06,0,0.17,0.63,0.64,0.72,0,0,0.73,0.77,0.91,1,1,1,39,0,0,0,66.45958519345243,94.97767857142857,0.03720238095238095,0.74,87.45023900647085
p0.80-n4,full-web,0.8,4,108,112,134.5,145.5,165,600,1,1,1,0.42,0.12,0.07,0.01,0,0.21,0.65,0.67,0.77,0,0,0.71,0.73,0.87,1,1,1,33,0,0,0,69.92996465773808,99.06994047619048,0.03720238095238095,0.84,87.39406189184801
p0.80-n6,full-web,0.8,6,115,130.9,141,155,171.75,600,7,1,1,0.58,0.16,0.13,0.07,0,0.16,0.61,0.63,0.68,0,0,0.74,0.77,0.87,1,1,1,40,0,0,0,65.6663988095238,90.40178571428571,0.11160714285714285,0.75,88.09277799028897
p0.80-n8,full-web,0.8,8,108,135,144,163,197.25,600,3,1,1,0.62,0.25,0.18,0.06,0,0.16,0.52,0.56,0.64,0,0,0.64,0.71,0.85,1,1,1,36,0,0,0,61.28183655753973,77.45535714285714,0.03720238095238095,0.75,87.867358290777
